,word,overall_rank,rank_english,rank_japanese,kanji,hiragana,count_english,word_type_japanese
404,horse,405,1401,1739,馬,うま,58453720,Noun
405,directly,406,1413,1094,直接,ちょくせつ,58144287,Adverb
406,son,407,1417,305,息子,むすこ,58094311,Noun
407,rule,408,1419,4226,ルール,ルール,57912422,Noun
408,bring,409,1425,822,持って来る,もってくる,57608074,Verb
409,mother,410,1430,294,お母さん,おかあさん,57432704,Noun
410,mother,411,1430,4784,母親,ははおや,57432704,Noun
411,modern,412,1444,5277,モダン,モダン,57030009,Adjectival Noun
412,door,413,1449,250,ドア,ドア,56638839,Noun
413,door,414,1449,5739,扉,とびら,56638839,Noun
414,metal,415,1466,3271,金属,きんぞく,56181783,Noun
415,opinion,416,1471,1215,意見,いけん,56038634,Noun
416,abstract,417,1475,5086,抽象的,ちゅうしょうてき,55951880,Adjective
417,output,418,1477,2042,出力,しゅつりょく,55819696,Verbal Noun
418,century,419,1505,1454,世紀,せいき,54929645,Noun
419,skin,420,1509,5722,皮膚,ひふ,54789622,Noun
420,ring,421,1517,1493,指輪,ゆびわ,54342432,Noun
421,mountain,422,1521,479,山,やま,54170529,Noun
422,mailing,423,1525,4414,郵送,ゆうそう,54096391,Verbal Noun
423,vehicle,424,1526,983,乗り物,のりもの,54079229,Noun
424,floor,425,1533,1910,床,ゆか,53759851,Noun
425,morning,426,1544,138,朝,あさ,53444032,Noun
426,rest,427,1547,4076,一休み,ひとやすみ,53312008,Verbal Noun
427,protein,428,1548,5991,蛋白質,たんぱくしつ,53253798,Noun
428,pool,429,1554,826,プール,プール,53046994,Noun
429,politics,430,1556,1304,政治,せいじ,53007762,Noun
430,fish,431,1563,688,魚,さかな,52756224,Noun
431,eye,432,1566,99,目,め,52688696,Noun
432,stage,433,1572,727,段階,だんかい,52518330,Noun
433,stage,434,1572,2439,ステージ,ステージ,52518330,Noun
434,race,435,1581,2644,人種,じんしゅ,52297214,Noun
435,moving,436,1593,1590,引っ越し,ひっこし,51765877,Verbal Noun
436,winter,437,1604,199,冬,ふゆ,51483174,Noun
437,battery,438,1606,1400,電池,でんち,51449559,Noun
438,pressure,439,1608,3339,圧力,あつりょく,51407261,Noun
439,television,440,1615,461,テレビ,テレビ,51304347,Noun
440,rent,441,1637,954,家賃,やちん,50767076,Noun
441,apple,442,1643,1071,りんご,りんご,50551171,Noun
442,theory,443,1649,2843,学説,がくせつ,50276653,Noun
443,theory,444,1649,4823,理論,りろん,50276653,Noun
444,enjoy,445,1650,273,楽しむ,たのしむ,50141455,Verb
445,beginning,446,1674,552,初め,はじめ,49148844,Noun
446,beginning,447,1674,1028,開始,かいし,49148844,Verbal Noun
447,beginning,448,1674,4665,始まり,はじまり,49148844,Noun
448,father,449,1692,292,お父さん,おとうさん,48580528,Noun
449,father,450,1692,4785,父親,ちちおや,48580528,Noun
450,driver,451,1698,1009,運転手,うんてんしゅ,48463463,Noun
451,unknown,452,1702,4349,未知,みち,48325930,Noun
452,unknown,453,1702,4368,不明,ふめい,48325930,Adjectival Noun
453,restaurant,454,1704,731,レストラン,レストラン,48255033,Noun
454,teacher,455,1712,231,先生,せんせい,48002944,Noun
455,teacher,456,1712,1728,教師,きょうし,48002944,Noun
456,sometimes,457,1737,31,時々,ときどき,47402973,Adverb
457,museum,458,1744,1722,博物館,はくぶつかん,47195123,Noun
458,wife,459,1750,364,妻,つま,46946408,Noun
459,wife,460,1750,5239,女房,にょうぼう,46946408,Noun
460,ten,461,1755,23,十,じゅう,46907473,Noun
461,zone,462,1757,3407,区域,くいき,46897368,Noun
462,die,463,1763,317,死ぬ,しぬ,46745446,Verb
463,die,464,1763,1200,亡くなる,なくなる,46745446,Verb
464,literature,465,1769,4450,文学,ぶんがく,46607011,Noun
465,parent,466,1771,296,親,おや,46516265,Noun
466,definition,467,1786,4821,定義,ていぎ,46017042,Verbal Noun
467,secretary,468,1787,5190,秘書,ひしょ,46013973,Noun
468,begin,469,1805,267,始まる,はじまる,45434902,Verb
469,switch,470,1810,906,スイッチ,スイッチ,45332755,Noun
470,cup,471,1822,1631,カップ,カップ,45032014,Noun
471,demand,472,1829,3014,需要,じゅよう,44858110,Noun
472,square,473,1834,2894,正方形,せいほうけい,44784448,Noun
473,square,474,1834,4741,真四角,ましかく,44784448,Adjectival Noun
474,square,475,1834,4878,平方,へいほう,44784448,Noun
475,difference,476,1845,2459,差,さ,44546845,Noun
476,sheet,477,1853,2846,シーツ,シーツ,44295187,Noun
477,seven,478,1855,16,七,なな,44224906,Noun
478,seven,479,1855,402,七,しち,44224906,Noun
479,jump,480,1861,3012,ジャンプ,ジャンプ,44137441,Verbal Noun
