,word,kanji,reading,overall_rank,rank_english,rank_japanese
336,season,シーズン,シーズン,337,1060,2298
337,someone,誰か,だれか,338,1062,1620
338,condition,条件,じょうけん,339,1067,1355
339,organization,構成,こうせい,340,1070,1459
340,volume,ボリューム,ボリューム,341,1082,5151
341,silver,銀,ぎん,342,1087,683
342,inside,内,うち,343,1090,2038
343,addition,足し算,たしざん,344,1096,919
344,addition,追加,ついか,345,1096,5068
345,executive,幹部,かんぶ,346,1102,3441
346,gas,ガス,ガス,347,1119,606
347,six,六,ろく,348,1121,15
348,advice,アドバイス,アドバイス,349,1124,2448
349,move,動く,うごく,350,1142,261
350,division,割り算,わりざん,351,1147,924
351,machine,機械,きかい,352,1153,1224
352,logo,マーク,マーク,353,1154,4528
353,length,長さ,ながさ,354,1155,653
354,actually,実は,じつは,355,1156,2598
355,statistics,統計,とうけい,356,1159,5130
356,capital,首都,しゅと,357,1163,1318
357,investment,投資,とうし,358,1166,1263
358,culture,文化,ぶんか,359,1172,977
359,registration,登録,とうろく,360,1181,5012
360,consumer,消費者,しょうひしゃ,361,1185,2693
361,airport,空港,くうこう,362,1187,1253
362,furniture,家具,かぐ,363,1191,2831
363,channel,チャンネル,チャンネル,364,1193,1226
364,letter,手紙,てがみ,365,1194,1057
365,summer,夏,なつ,366,1201,197
366,button,ボタン,ボタン,367,1205,931
367,male,雄,おす,368,1210,3830
368,song,歌,うた,369,1225,1065
369,idea,アイデア,アイデア,370,1234,2307
370,female,雌,めす,371,1236,5858
371,win,勝つ,かつ,372,1240,246
372,cancer,がん,がん,373,1244,3801
373,tool,道具,どうぐ,374,1247,4928
374,spring,春,はる,375,1249,196
375,schedule,スケジュール,スケジュール,376,1255,2356
376,bed,ベッド,ベッド,377,1260,766
377,police,警察,けいさつ,378,1262,1384
378,glass,ガラス,ガラス,379,1279,646
379,glass,グラス,グラス,380,1279,1131
380,sport,スポーツ,スポーツ,381,1291,551
381,animal,動物,どうぶつ,382,1294,1018
382,population,人口,じんこう,383,1297,469
383,round,丸い,まるい,384,1309,1763
384,understand,分かる,わかる,385,1312,59
385,recently,最近,さいきん,386,1316,648
386,probably,恐らく,おそらく,387,1317,3640
387,blood,血,ち,388,1323,1692
388,blood,血液,けつえき,389,1323,3482
389,cut,切る,きる,390,1324,253
390,cut,カット,かっと,391,1324,2373
391,transfer,転勤,てんきん,392,1337,5047
392,kitchen,台所,だいどころ,393,1339,782
393,kitchen,きっちん,きっちん,394,1339,3419
394,strong,強い,つよい,395,1340,239
395,hospital,病院,びょういん,396,1345,1187
396,hair,髪の毛,かみのけ,397,1357,387
397,budget,予算,よさん,398,1383,4619
398,success,成功,せいこう,399,1386,1259
399,quite,結構,けっこう,400,1391,3187
400,boy,少年,しょうねん,401,1393,435
401,beautiful,美しい,うつくしい,402,1397,378
402,beautiful,奇麗,きれい,403,1397,397
403,wine,ワイン,ワイン,404,1399,781
404,horse,馬,うま,405,1401,1739
405,directly,直接,ちょくせつ,406,1413,1094
406,son,息子,むすこ,407,1417,305
407,rule,ルール,ルール,408,1419,4226
408,bring,持って来る,もってくる,409,1425,822
409,mother,お母さん,おかあさん,410,1430,294
410,mother,母親,ははおや,411,1430,4784
411,modern,モダン,モダン,412,1444,5277
412,door,ドア,ドア,413,1449,250
413,door,扉,とびら,414,1449,5739
414,metal,金属,きんぞく,415,1466,3271
415,opinion,意見,いけん,416,1471,1215
416,abstract,抽象的,ちゅうしょうてき,417,1475,5086
417,output,出力,しゅつりょく,418,1477,2042
418,century,世紀,せいき,419,1505,1454
419,skin,皮膚,ひふ,420,1509,5722
420,ring,指輪,ゆびわ,421,1517,1493
421,mountain,山,やま,422,1521,479
422,mailing,郵送,ゆうそう,423,1525,4414
423,vehicle,乗り物,のりもの,424,1526,983
424,floor,床,ゆか,425,1533,1910
425,morning,朝,あさ,426,1544,138
426,rest,一休み,ひとやすみ,427,1547,4076
427,protein,蛋白質,たんぱくしつ,428,1548,5991
428,pool,プール,プール,429,1554,826
429,politics,政治,せいじ,430,1556,1304
430,fish,魚,さかな,431,1563,688
431,eye,目,め,432,1566,99
432,stage,段階,だんかい,433,1572,727
433,stage,ステージ,ステージ,434,1572,2439
434,race,人種,じんしゅ,435,1581,2644
435,moving,引っ越し,ひっこし,436,1593,1590
436,winter,冬,ふゆ,437,1604,199
437,battery,電池,でんち,438,1606,1400
438,pressure,圧力,あつりょく,439,1608,3339
439,television,テレビ,テレビ,440,1615,461
440,rent,家賃,やちん,441,1637,954
441,apple,りんご,りんご,442,1643,1071
442,theory,学説,がくせつ,443,1649,2843
443,theory,理論,りろん,444,1649,4823
444,enjoy,楽しむ,たのしむ,445,1650,273
445,beginning,初め,はじめ,446,1674,552
446,beginning,開始,かいし,447,1674,1028
447,beginning,始まり,はじまり,448,1674,4665
448,father,お父さん,おとうさん,449,1692,292
449,father,父親,ちちおや,450,1692,4785
450,driver,運転手,うんてんしゅ,451,1698,1009
451,unknown,未知,みち,452,1702,4349
452,unknown,不明,ふめい,453,1702,4368
453,restaurant,レストラン,レストラン,454,1704,731
454,teacher,先生,せんせい,455,1712,231
455,teacher,教師,きょうし,456,1712,1728
456,sometimes,時々,ときどき,457,1737,31
457,museum,博物館,はくぶつかん,458,1744,1722
458,wife,妻,つま,459,1750,364
459,wife,女房,にょうぼう,460,1750,5239
460,ten,十,じゅう,461,1755,23
461,zone,区域,くいき,462,1757,3407
462,die,死ぬ,しぬ,463,1763,317
463,die,亡くなる,なくなる,464,1763,1200
464,literature,文学,ぶんがく,465,1769,4450
465,parent,親,おや,466,1771,296
466,definition,定義,ていぎ,467,1786,4821
467,secretary,秘書,ひしょ,468,1787,5190
468,begin,始まる,はじまる,469,1805,267
469,switch,スイッチ,スイッチ,470,1810,906
470,cup,カップ,カップ,471,1822,1631
471,demand,需要,じゅよう,472,1829,3014
472,square,正方形,せいほうけい,473,1834,2894
473,square,真四角,ましかく,474,1834,4741
474,square,平方,へいほう,475,1834,4878
475,difference,差,さ,476,1845,2459
476,sheet,シーツ,シーツ,477,1853,2846
477,seven,七,なな,478,1855,16
478,seven,七,しち,479,1855,402
479,jump,ジャンプ,ジャンプ,480,1861,3012
480,jump,ぴょんと,ぴょんと,481,1861,5970
481,minister,大臣,だいじん,482,1870,5841
482,fashion,ファッション,ファッション,483,1873,4377
483,chance,チャンス,チャンス,484,1885,4283
484,ball,ボール,ボール,485,1887,886
485,wind,風,かぜ,486,1899,748
486,leather,革,かわ,487,1913,1320
487,temperature,温度,おんど,488,1916,744
488,temperature,気温,きおん,489,1916,745
489,palm,てのひら,てのひら,490,1917,5624
490,patient,患者,かんじゃ,491,1919,1639
491,historical,歴史的,れきしてき,492,1921,5200
492,perhaps,ひょっとしたら,ひょっとしたら,493,1926,5088
493,difficult,難しい,むずかしい,494,1928,244
494,satellite,衛星,えいせい,495,1930,3155
495,fit,合う,あう,496,1931,604
496,amateur,アマチュア,アマチュア,497,1935,2489
497,coffee,コーヒー,コーヒー,498,1942,871
498,cultural,文化的,ぶんかてき,499,1947,4863
499,poster,ポスター,ポスター,500,1952,5781
500,ice,氷,こおり,501,1960,1418
501,pink,ピンク,ピンク,502,1961,1126
502,balance,バランス,バランス,503,1963,4258
503,bus,バス,バス,504,1982,621
504,dictionary,辞書,じしょ,505,1985,1334
505,dictionary,字引,じびき,506,1985,2395
506,dictionary,辞典,じてん,507,1985,3545
507,chair,椅子,いす,508,1990,1991
508,bag,バッグ,バッグ,509,1995,996
509,professor,教授,きょうじゅ,510,2001,1729
510,shirt,シャツ,シャツ,511,2004,1026
511,religion,宗教,しゅうきょう,512,2021,3808
512,surgery,外科,げか,513,2025,2769
513,generation,世代,せだい,514,2030,2517
514,miss,乗り遅れる,のりおくれる,515,2032,4663
515,doctor,医者,いしゃ,516,2034,1190
516,doctor,お医者さん,おいしゃさん,517,2034,1192
517,leader,首脳,しゅのう,518,2047,2949
518,diamond,ダイヤモンド,ダイヤモンド,519,2048,4893
519,soft,柔らかい,やわらかい,520,2052,1753
520,soft,ふわふわ,ふわふわ,521,2052,5517
521,fuel,燃料,ねんりょう,522,2063,5489
522,pocket,ポケット,ポケット,523,2073,956
523,rose,ばら,ばら,524,2075,5504
524,freedom,自由,じゆう,525,2076,1155
525,competition,競争,きょうそう,526,2078,1393
526,fresh,新鮮,しんせん,527,2085,3714
527,platform,ホーム,ホーム,528,2134,831
528,platform,プラットホーム,プラットホーム,529,2134,5032
529,immediately,早速,さっそく,530,2138,2575
530,nursing,看護,かんご,531,2140,3399
531,defense,弁護,べんご,532,2141,5462
532,heavy,重い,おもい,533,2145,222
533,heavy,重たい,おもたい,534,2145,2321
534,orange,オレンジ,オレンジ,535,2164,1046
535,improvement,向上,こうじょう,536,2173,2096
536,improvement,改善,かいぜん,537,2173,3919
537,guitar,ギター,ギター,538,2175,1006
538,challenge,挑戦,ちょうせん,539,2185,5117
539,election,選挙,せんきょ,540,2198,1314
540,corner,コーナー,コーナー,541,2218,2506
541,birth,誕生,たんじょう,542,2223,5446
